LOADING_HINT_QUEST_0;提示：你每回合獲得{faeria|3} 靈力。
LOADING_HINT_QUEST_1;提示：未消耗的靈力會保留至下回合。
LOADING_HINT_QUEST_2;提示：每張卡牌的上面都有異能的詳細解釋。
LOADING_HINT_QUEST_3;提示：在對手神座的周圍建造地塊。
LOADING_HINT_QUEST_4;提示：在荊棘幽光長大之前殺掉它。
LOADING_HINT_QUEST_5;提示：在Faeria中有四種顏色。其各自擁有各自的地塊。
LOADING_HINT_QUEST_6;提示：茹妮是一位古老，不朽的森林守護者。
LOADING_HINT_QUEST_7;提示：紅色卡牌擁有火焰山脈的力量。
LOADING_HINT_QUEST_8;塞弗把他的名字烙印在滅亡帝國的塵埃中。
LOADING_HINT_QUEST_9;提示：擁有跳躍異能的生物可往任意方向移動至多兩格，並可跳過障礙物。
LOADING_HINT_QUEST_10;提示：建造地塊可以阻擋水生的敵人。
LOADING_HINT_QUEST_11;提示：哈里姆極具侵略性，要小心保護自己。
LOADING_HINT_QUEST_13;當她還是個孩子，薩拉的恐懼已和她的村莊一同燒為灰燼。
LOADING_HINT_QUEST_20;瑪戈妲是麥洛瓦的皇后，英雄和惡棍們都是她棋盤中的棋子而已。
LOADING_HINT_QUEST_25;在千里之外的克羅格的派對常被誤認為遠方的雷聲。
LOADING_HINT_QUEST_26;塔倫是第一個被種下的種子。他見證了龍的誕生和古神的殞落。
LOADING_HINT_QUEST_29;提示：塔倫的力量會隨著時間增長。盡快擊敗他。
LOADING_HINT_QUEST_30;霍卡熱衷於創造新的棋盤好讓它能盡情玩耍。
LOADING_HINT_QUEST_48;奧羅拉的嗜好包括了培訓未來的英雄和品嘗新品種的茶。
LOADING_HINT_QUEST_49;在吉丹騎士團當中擁有神童稱號的哈里姆，違抗了師父命令而參與了俗世的戰爭。
LOADING_HINT_QUEST_54;有些魚就只是想看到世界燃燒殆盡。
LOADING_HINT_QUEST_64;神秘的亞米爾守護著宇宙並扮演眾神導師的角色。
LOADING_HINT_QUEST_117;提示：潘朵拉模式中常見的寶藏牌非常強大。
LOADING_HINT_QUEST_118;福咕嚕環遊世界並收集歷史上最偉大的符文。
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;提示：死觸只有在造成傷害後才會殺死生物。護盾能夠阻擋傷害。
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;提示：堤基守護者和堤基吹笛手能夠指定自己為目標。
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;提示：青蛙快打所產生的青蛙只能召喚在湖泊上。
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;提示：治癒效果無法超過上限20生命值。
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;提示：完成單人任務是上手的最佳選擇。
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;提示：紅色代表著火焰和戰爭。
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;提示：藍色代表著變形和詭計。
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;提示：綠色代表著成長以及捕食者的野性。
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;提示：黃色代表著狂風和快速。
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;提示：你的疾行異能無法穿越其他生物。
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;提示：建造地塊來阻擋水生的敵人。
LOADING_HINT_RANDOM_DAILY_QUEST_1;提示：最有效獲得戰爭寶箱的方式是每天登入並完成你的每日任務。
LOADING_HINT_RANDOM_THE_HUB;你知道嗎：faeria.com/the-hub是我們的官方網站，玩家們能在那邊發表他們的心得攻略。
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;提示：完成所有單人模式任務來解鎖龍之卡背。
LOADING_HINT_RANDOM_PANDORA_ECONMY;提示：當潘朵拉覺醒時，所有靈井都會被摧毀但玩家每回合都會得到雙倍的靈力。
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;提示：具有嘲諷異能的生物通常是保護你的最好方法。
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;提示：在早期時要多建造地塊，將抽牌和 +1靈力的選項留到後期再考慮。
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;提示：許多牌組會在後期擁有巨大優勢，保留你手中的抹殺法術給它們吧。
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;提示：當面對快攻時，將你的生物移動到對手較侵略的地塊上吧。
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;提示：建築可以落在任何顏色的地塊上。
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;提示：建築物可以在被召喚的回合馬上使用
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;提示：試著在鄰近敵方主神處建造地塊。
LOADING_HINT_RANDOM_OVERDRAWING_DESTROYS_CARDS;提示：你最多只能擁有 9 張手牌。抽牌時超過數量的卡會直接被摧毀。
LOADING_HINT_RANDOM_COUNTERING_RUSH_2;提示：阻擋對手的地塊來反制快攻，在對手突破前展開反擊吧。
LOADING_HINT_RANDOM_YAK_LORE_1;<i>如果你傷害了一頭氂牛，你傷害了全世界</i>\n<align=right>西蘭諺語</align>
LOADING_HINT_RANDOM_FRIENDS_BLOCK_RANGED;提示：遠攻的生物無法穿過友軍生物進行攻擊。
LOADING_HINT_RANDOM_LANDS_ARE_BETTER_THAN_CARDS;提示：創造地塊通常比抽牌更為重要。
LOADING_HINT_RANDOM_ENDGAME_THREATS_EXIST;提示：存在許多方法能夠制裁你緩慢的節奏。擁有優勢時一定要果斷出擊。
LOADING_HINT_RANDOM_FATIGUE_HURTS;提示：當你的牌組耗盡之後，每一次抽牌都會造成遞增的傷害。
LOADING_HINT_RANDOM_JALMYR_LORE_2;亞米爾接踵而來的謎題經常困擾著大多數的玩家。
LOADING_HINT_RANDOM_STEAM_FORGE_LORE;帝國蒸氣爐以靈力為燃料...出乎意料但非常有效。
LOADING_HINT_RANDOM_JALMYR_LORE_3;亞米爾不忍消滅他的兄弟，黑暗領主。
LOADING_HINT_RANDOM_YELLOW_USES_HASTE;提示：黃色牌組常使用迅捷生物。提前做好防禦準備吧。
LOADING_HINT_RANDOM_RED_DIRECT_DAMAGE;提示：紅色牌組經常會有直接傷害。當你生命值較低時要特別小心。
LOADING_HINT_RANDOM_FIRESTORM_EXISTS;提示：火焰風暴是一張能夠對所有敵方生物造成3傷害的紅色卡。
LOADING_HINT_RANDOM_UNIQUE_EMOTES_EXIST;提示：許多頭像擁有獨特的表情。
LOADING_HINT_RANDOM_BYPASSING_TAUNT;提示：被嘲諷的生物無法主動移動，但可以藉由其他效果來移動它。例如突進。
LOADING_HINT_RANDOM_DON'T_OVERBUFF_CREATURES;提示：把生物升級超過6/6前要慎重考慮。一個抹殺法術能讓你捶胸頓足。
LOADING_HINT_RANDOM_JOIN_FAERIA'S_DISCORD;提示：有任何問題或建議？加入官方 Faeria Discord Server吧。連結就在你的好友列表中。
LOADING_HINT_RANDOM_ESPORTS_FAERIA_EXISTS;提示：前往 esports.faeria.com獲取 Faeria比賽和獎勵的資訊。
LOADING_HINT_RANDOM_TOP_8_GODS_ON_LADDER_INVITED;提示：每個賽季，God Rank排行前10的玩家能夠獲邀至我們的月冠軍賽。
LOADING_HINT_RANDOM_HARD_REMOVAL_COSTS_6;提示：最好的抹殺法術要花費6點靈力。
LOADING_HINT_RANDOM_KILL_BURN_FAST;提示：當面對直傷牌組時，盡可能快速的擊倒對手。
LOADING_HINT_RANDOM_REVIEW_FAERIA_PLEASE;如果你喜歡Faeria，給我們一些評論吧。這有助於社群的成長。
LOADING_HINT_RANDOM_RAPALA_LORE_2;近海村落最恐懼的不是海嘯，而是張牙舞爪的魚。
LOADING_HINT_RANDOM_TIPS_EXIST;提示：讀取時螢幕上有時候會出現提示，別錯過了。
LOADING_HINT_RANDOM_PROTECT_YOUR_ORB;提示：別讓對手取得你主神旁邊的地塊。
LOADING_HINT_RANDOM_EMPEROR_LORE;皇帝盼望著人民都不再有利用價值的那一天。
LOADING_HINT_RANDOM_WISDOM_IS_BAD;提示：聰明的玩家很少使用『智慧』這張卡。
LOADING_HINT_RANDOM_IONA_LORE_1;在愛歐娜出現之前，撒但不懂何為'慈悲'。
LOADING_HINT_RANDOM_OUTLAND_RANGER_LORE_1;異域遊俠們是古老的貴族，他們拋棄了莊嚴的城堡選擇了自由的天空。
LOADING_HINT_RANDOM_SYLAND_FARMERS_LORE;每個世代的西蘭農夫都能孕育出一位偉大的英雄，從未間斷。
LOADING_HINT_RANDOM_IONA_LORE_2;每個詩人的夢想都是能寫出愛歐娜欣賞的作品。
LOADING_HINT_RANDOM_YAK_LEVEL;提示：沒有隱藏的氂牛關。
LOADING_HINT_RANDOM_KROG_LORE_1;克羅格到處*宣稱*自己是食人魔之王。
LOADING_HINT_RANDOM_RAPALA_LORE_1;有些魚就只是想看到世界燃燒殆盡。
LOADING_HINT_RANDOM_THYRIAN_LORE_1;泰瑞亞魔像據說是從雲之上的神話天堂而來的。
LOADING_HINT_RANDOM_YAKNUS_LORE_1;王者雅克納斯，首位擁有此稱號的雅克納斯，以解放氂牛及駝獸聞名。
LOADING_HINT_RANDOM_MAGNUS_LORE_1;奧羅拉在瑪戈努斯小時候託夢給它，進而使他成為了國王。
LOADING_HINT_RANDOM_RUUNIN_LORE_1;儘管茹妮反對，她的追隨者仍堅持在她每次的辭世給予厚葬。
LOADING_HINT_RANDOM_JALMYR_LORE_1;謠傳亞米爾能夠實現教導他新知識的人一個願望。
LOADING_HINT_RANDOM_GARUDAN_LORE_1;格魯丹是個討人厭的龍。
LOADING_HINT_RANDOM_HEXAGON_JOKE;提示：六邊形是完美的形狀，因為他有六個完美的邊。
LOADING_HINT_RANDOM_SAGAMI_LORE_1;在薩迦密調教下，最惡名昭彰的幽影也能成為令人聞風喪膽的守衛。
LOADING_HINT_RANDOM_SAGAMI_LORE_2;薩迦密將凶殘的幽影轉為令人畏懼的守衛。
LOADING_HINT_RANDOM_SEIFER_LORE_1;塞弗有個寵物鼬叫做亡炬。
LOADING_HINT_RANDOM_SEIFER_LORE_2;塞弗曾經跟太陽比賽過互相瞪眼，歷史從未記載贏家為何。
LOADING_HINT_RANDOM_DROWNING;提示：沒有飛行或水生異能的生物如果處在空的海洋格子上，回合結束時會立即死亡。
LOADING_HINT_RANDOM_PANDORA_GODS;潘朵拉是個能夠實現任何夢想的世界。且幸運的是神靈們被允許自由進出。
LOADING_HINT_RANDOM_AURORA_DREAMS;奧羅拉可以進入人們的夢境並改變他的命運。
LOADING_HINT_RANDOM_MULTI_TAUNT;提示：如果同時被許多隻生物所嘲諷，該生物可以自行選擇要攻擊哪一隻。
LOADING_HINT_RANDOM_HOLD_EXPLORE;提示：你可以把<i>探索</i>留在手上來增強那些靠法術變強的生物
LOADING_HINT_RANDOM_FALCON_DIVE;提示：獵鷹俯沖是個巧妙且便利的工具，幾乎能加入所有牌組中。
LOADING_HINT_RANDOM_SYLAND_HORSEMASTER;提示：西蘭馴馬師能讓紅色或綠色的牌組做出出乎意料的突襲。
LOADING_HINT_RANDOM_GOD_HUNTER;提示：當有嘲諷的生物在旁邊，獵神者不能移動也不能攻擊。
LOADING_HINT_RANDOM_UNLIKELY_HERO;提示：小小英雄的異能可以透過攻擊敵人主神來發動。
LOADING_HINT_RANDOM_MOVING_WITH_JUMP_AND_CHARGE;提示：以卡牌移動生物的時候，記得考慮它的跳躍與疾行的能力。
LOADING_HINT_RANDOM_RADIANCE;提示：光輝號的費用不會被任何卡牌或效果減少。
LOADING_HINT_RANDOM_ELEMENTALS;提示：使用元素生物是加速你鋪特殊地形的最好方法。
LOADING_HINT_RANDOM_PANDORA_POINTS;提示：累積潘朵拉點數來贏取每季的特別獎勵
LOADING_HINT_RANDOM_PANDORA_CARD_BACK;提示：每季結算前把排名Rank提升到15或以上的話，就能獲得特殊卡背。
LOADING_HINT_RANDOM_GOD_CARD_BACK;提示：結算時排名到達God Rank的玩家，將能獲得獨特的金色卡背。
LOADING_HINT_RANDOM_SEASON_RESET;提示：排名與潘朵拉每季於每個月的第一個禮拜一結算。
LOADING_HINT_RANDOM_HARVEST_ORDER;提示：生物採集靈力的順序是從使用者的方向來看，由左到右，由上到下。
LOADING_HINT_RANDOM_TRANSFORM_WITH_HASTE;提示：變形一個有迅捷的生物的話，會使該生物失去迅捷效果並無法攻擊。
LOADING_HINT_RANDOM_LAND_LOCK_COUNTER;提示：如果對手用地塊阻擋了你，你可以把生物移動到他的地塊上，並在相鄰的空格蓋你的地塊。
LOADING_HINT_RANDOM_CANNOT_CANCEL_GIFT;提示：當你把一個有賦禮的生物打出到地圖上後，你將無法取消這次召喚
LOADING_HINT_RANDOM_OROSEI_LORE;歐洛賽一直守護著潘朵拉神域與那裡的寶藏。
LOADING_HINT_RANDOM_FUGORO_LORE;福咕嚕所有的寶藏都是從潘朵拉神域掠奪來的。
LOADING_HINT_RANDOM_GOKI_01;福咕嚕有一個侄子叫呱呱。你可以在商店裡找到他。
LOADING_HINT_RANDOM_WORLD_BOSSES;擊敗所有的魔王以解鎖帶有3枚寶石的冠軍神座
LOADING_HINT_RANDOM_WILD_LANDS;在計算野性地塊限制時，所有有色的地塊都會被計入。
LOADING_HINT_RANDOM_CORRUPT_1;提示：用一些移動的小把戲能讓腐化生物更容易成功！
LOADING_HINT_RANDOM_CORRUPT_2;提示：別讓敵人的生物腐化你的土地！
LOADING_HINT_RANDOM_CRUCIBLE;你和朋友在私人大廳中練習比賽格式的遊戲。
LOADING_HINT_RANDOM_FALL_OF_EVERLIFE;凱歐斯吃了永生樹之果後，腐化的魔爪遍佈蒼空。
LOADING_HINT_RANDOM_TRIBAL;有些卡一起使用時效果更佳。氂牛們最愛聚在一塊<3。
LOADING_HINT_RANDOM_LORE_BOOK;透過完成每日知識任務或開啟神話寶箱來蒐集知識。
LOADING_HINT_RANDOM_DECK_COSMETICS;您瞭解如何搭配出最適合的新牌組嗎？現在即可在牌組編輯器裡挑選出最完美的組合。
LOADING_HINT_RANDOM_DRAGONS_LAIR;每天都可前往巨龍巢穴挑戰新的巨龍關卡。
