KROG_EPIC_01_0001;私のパーティへようこそ！
KROG_EPIC_01_0002;王のために踊れ！
KROG_EPIC_01_0003;いいパーティだな！
KROG_EPIC_01_0004;ヤクを振れ！
KROG_EPIC_01_0005;王は楽しんでいるぞ！
KROG_EPIC_01_0006;クログになれ！
KROG_EPIC_01_0007;好きな曲だな！
KROG_EPIC_01_0008;クログタイム！
KROG_EPIC_01_0009;騒げ！
KROG_EPIC_01_0010;もっとヤクベルが必要だ！
KROG_EPIC_01_0011;誰がパンツにヤクを入れた？
KROG_EPIC_01_0012;すべての独身のオーガは、手を上げろ！
KROG_EPIC_01_0013;家庭を持っているオーガはみんなヤクと言え！
KROG_EPIC_01_0014;なぜ誰もヤクと言わないんだ？
KROG_EPIC_01_0015;ダンスは楽しくないか？
KROG_EPIC_01_0016;クログは...考え直さないと。
KROG_EPIC_01_0017;パーティは終わりだ。
